n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
100,0.5,0.0968253317144,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.5,0.0968255989244,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.5,0.096825468386,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.5,0.0968253220525,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.5,0.0968252972013,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
200,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
300,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
400,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
500,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348446353,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487359520755,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348344309,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.48735918188,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
